SYMBOL, SERIES, DATE1,PREVCL, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
METKORE, BZ, 30-Jun-2020,1.05,1.1,1.1,1.1,1.1,1.1,1.1,28665,0.32,30, -, -
METROPOLIS, EQ, 30-Jun-2020,1358.9,1360,1372.65,1338.9,1351.85,1359.3,1359.62,280267,3810.58,8196,247736,88.39
MFSL, EQ, 30-Jun-2020,516.3,524.2,554,517.15,537.05,542,530.74,1413320,7501.12,19133,190690,13.49
MGEL, SM, 30-Jun-2020,57.35,57.45,57.45,57.45,57.45,57.45,57.45,2000,1.15,1,2000,100
MGL, EQ, 30-Jun-2020,1043.65,1056,1074,1049.15,1054,1052.1,1060.52,656947,6967.03,18675,212685,32.37
MHHL, SM, 30-Jun-2020,15,15,15.75,15,15.75,15.75,15.43,12000,1.85,4,9000,75
MHRIL, EQ, 30-Jun-2020,169.8,170,172.6,167.45,167.95,167.85,169.38,17027,28.84,623,10266,60.29
MIDHANI, EQ, 30-Jun-2020,205.8,211,224,211,217.85,218,218.64,4713012,10304.34,57762,1039824,22.06
MILTON, SM, 30-Jun-2020,15.65,16.3,16.35,16.3,16.35,16.35,16.33,8800,1.44,2,8800,100
MINDACORP, EQ, 30-Jun-2020,72.95,73.55,74.15,70,73,73.3,72.65,1381606,1003.72,7510,565559,40.93
MINDAIND, EQ, 30-Jun-2020,286.05,272,281.85,272,275,274.2,275.62,373140,1028.45,14727,127119,34.07
MINDTECK, EQ, 30-Jun-2020,27.5,28.8,28.85,27,28.65,28.8,28.74,29544,8.49,308,24761,83.81
MINDTREE, EQ, 30-Jun-2020,930.7,932.8,940.85,924,927,925.65,931.7,491535,4579.64,14371,127352,25.91
MIRCELECTR, BE, 30-Jun-2020,8.85,9.1,9.1,8.45,8.45,8.45,8.64,569167,49.16,844, -, -
MIRZAINT, EQ, 30-Jun-2020,43.6,44,44.65,43.3,44,43.75,44.02,201198,88.56,1787,69085,34.34
